policy_text,label
The Right to Information Act mandates public disclosure of government records and improves transparency in Uttar Pradesh.,High Impact
The Departmental Reporting Format Regulation regulates administrative procedures and operational guidelines for departments in Rajasthan.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Karnataka.,Low Impact
The Administrative Procedure Simplification Bill regulates administrative procedures and operational guidelines for departments in Uttar Pradesh.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Odisha.,Low Impact
The Open Government Data Policy introduces digital portals for public monitoring of government spending in West Bengal.,High Impact
This regulation updates routine government operational rules under the Municipal Parking Regulation Bill in Uttar Pradesh.,Low Impact
The Right to Information Act enhances transparency standards and civic oversight across administrative bodies in Maharashtra.,High Impact
The Election Commission Transparency Reform Bill mandates public disclosure of government records and improves transparency in Karnataka.,High Impact
The Election Commission Transparency Reform Bill introduces digital portals for public monitoring of government spending in Tamil Nadu.,High Impact
"Under the Right to Information Act, all government departments must release public data to citizens in Madhya Pradesh.",High Impact
The Election Commission Transparency Reform Bill introduces digital portals for public monitoring of government spending in Bihar.,High Impact
The Public Transport Permit Regulation introduces minor regulatory adjustments to administrative workflows in Maharashtra.,Low Impact
The Anti-Corruption Amendment Bill introduces digital portals for public monitoring of government spending in Uttar Pradesh.,High Impact
The State Vehicle Tax Adjustment Act introduces minor regulatory adjustments to administrative workflows in Tamil Nadu.,Low Impact
This regulation updates routine government operational rules under the Administrative Procedure Simplification Bill in Punjab.,Low Impact
