policy_text,policy_area,ministry,year,public_sentiment,impact_label
The government launches a nationwide environment reform program affecting millions of citizens.,environment,Ministry of Agriculture and Farmers Welfare,2009,Neutral,High Impact
A routine regulation modifies internal operations in the digital governance sector.,digital governance,Ministry of Agriculture and Farmers Welfare,2006,Neutral,Low Impact
A new national policy improves access to digital governance services across multiple states.,digital governance,Ministry of Agriculture and Farmers Welfare,2023,Positive,High Impact
The government launches a nationwide transport reform program affecting millions of citizens.,transport,Ministry of Education,2017,Positive,High Impact
A routine regulation modifies internal operations in the employment sector.,employment,Ministry of Electronics and IT,2018,Neutral,Low Impact
Local authorities revised guidelines for handling urban development records.,urban development,Ministry of Home Affairs,2018,Negative,Low Impact
Local authorities revised guidelines for handling social welfare records.,social welfare,Ministry of Social Justice and Empowerment,2015,Neutral,Low Impact
A new national policy improves access to environment services across multiple states.,environment,Ministry of Home Affairs,2017,Positive,High Impact
The policy updates documentation rules related to education offices.,education,Ministry of Agriculture and Farmers Welfare,2021,Negative,Low Impact
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Ministry of Housing and Urban Affairs,2021,Neutral,High Impact
The central government introduces a large-scale initiative to modernize agriculture.,agriculture,Ministry of Road Transport and Highways,2023,Positive,High Impact
Small procedural adjustments were made in the management of health programs.,health,Ministry of Education,2007,Negative,Low Impact
A routine regulation modifies internal operations in the employment sector.,employment,Ministry of Health and Family Welfare,2006,Neutral,Low Impact
A comprehensive reform significantly improves public access to transport services.,transport,Ministry of Electronics and IT,2005,Positive,High Impact
Small procedural adjustments were made in the management of education programs.,education,Ministry of Education,2005,Neutral,Low Impact
Major legislation expands funding and infrastructure for digital governance development.,digital governance,Ministry of Housing and Urban Affairs,2018,Neutral,High Impact
Small procedural adjustments were made in the management of employment programs.,employment,Ministry of Education,2018,Negative,Low Impact
A comprehensive reform significantly improves public access to employment services.,employment,Ministry of Agriculture and Farmers Welfare,2012,Positive,High Impact
The government launches a nationwide digital governance reform program affecting millions of citizens.,digital governance,Ministry of Health and Family Welfare,2007,Neutral,High Impact
Major legislation expands funding and infrastructure for digital governance development.,digital governance,Ministry of Education,2005,Positive,High Impact
Local authorities revised guidelines for handling environment records.,environment,Ministry of Labour and Employment,2006,Neutral,Low Impact
A routine regulation modifies internal operations in the public safety sector.,public safety,Ministry of Agriculture and Farmers Welfare,2022,Neutral,Low Impact
Small procedural adjustments were made in the management of agriculture programs.,agriculture,"Ministry of Environment, Forest and Climate Change",2018,Negative,Low Impact
A comprehensive reform significantly improves public access to environment services.,environment,Ministry of Agriculture and Farmers Welfare,2015,Neutral,High Impact
The policy updates documentation rules related to health offices.,health,Ministry of Home Affairs,2024,Negative,Low Impact
